Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
1.01E+14,20 MICRONS LTD,0,1,0.01,INE144J01027,0915-1530|1815-1915:,3/20/2026,,NSE:20MICRONS-EQ,10,10,16921,20MICRONS,16921,-1,XX,1.01E+14,None,1,2
10100000004,21ST CENTURY MGMT SERVICE,0,1,0.01,INE253B01015,0915-1530|1815-1915:,3/20/2026,,NSE:21STCENMGM-EQ,10,10,4,21STCENMGM,4,-1,XX,10100000004,None,0,0
1.01E+14,360 ONE WAM LIMITED,0,1,0.1,INE466L01038,0915-1530|1815-1915:,3/20/2026,,NSE:360ONE-EQ,10,10,13061,360ONE,13061,-1,XX,1.01E+14,None,1,3.1
1.01E+13,3I INFOTECH LIMITED,0,1,0.01,INE748C01038,0915-1530|1815-1915:,3/20/2026,,NSE:3IINFOLTD-EQ,10,10,6232,3IINFOLTD,6232,-1,XX,1.01E+13,None,0,0
1.01E+12,3M INDIA LIMITED,0,1,5,INE470A01017,0915-1530|1815-1915:,3/20/2026,,NSE:3MINDIA-EQ,10,10,474,3MINDIA,474,-1,XX,1.01E+12,None,1,3.3
1.01E+13,3P LAND HOLDINGS LIMITED,0,1,0.01,INE105C01023,0915-1530|1815-1915:,3/20/2026,,NSE:3PLAND-EQ,10,10,2595,3PLAND,2595,-1,XX,1.01E+13,None,0,0
1.01E+12,5PAISA CAPITAL LIMITED,0,1,0.05,INE618L01018,0915-1530|1815-1915:,3/20/2026,,NSE:5PAISA-EQ,10,10,445,5PAISA,445,-1,XX,1.01E+12,None,1,2
1.01E+14,63 MOONS TECHNOLOGIES LTD,0,1,0.05,INE111B01023,0915-1530|1815-1915:,3/20/2026,,NSE:63MOONS-EQ,10,10,11868,63MOONS,11868,-1,XX,1.01E+14,None,1,2.5
1.01E+14,A2Z INFRA ENGINEERING LTD,0,1,0.01,INE619I01012,0915-1530|1815-1915:,3/20/2026,,NSE:A2ZINFRA-BE,10,10,20910,A2ZINFRA,20910,-1,XX,1.01E+14,None,0,0
1.01E+14,AAA TECHNOLOGIES LIMITED,0,1,0.01,INE0D0U01013,0915-1530|1815-1915:,3/20/2026,,NSE:AAATECH-EQ,10,10,12533,AAATECH,12533,-1,XX,1.01E+14,None,0,0
1.01E+14,AADHAR HOUSING FINANCE L,0,1,0.05,INE883F01010,0915-1530|1815-1915:,3/20/2026,,NSE:AADHARHFC-EQ,10,10,23729,AADHARHFC,23729,-1,XX,1.01E+14,None,1,3.4
1.01E+15,AAKAAR MEDICAL TECHNO LTD,0,1600,0.05,INE1GYP01013,0915-1530|1815-1915:,3/20/2026,,NSE:AAKAAR-ST,10,10,757582,AAKAAR,757582,-1,XX,1.01E+15,None,0,0
