Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
1020260330122468,ALUMINI 30 Mar 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774893600,NSE:ALUMINI26MARFUT,10,20,122468,ALUMINI,21,-1.0,XX,102000000021,1774893600,0,0.0
1020260430121813,ALUMINI 30 Apr 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1777572000,NSE:ALUMINI26APRFUT,10,20,121813,ALUMINI,21,-1.0,XX,102000000021,1777572000,0,0.0
1020260529122201,ALUMINI 29 May 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1780077600,NSE:ALUMINI26MAYFUT,10,20,122201,ALUMINI,21,-1.0,XX,102000000021,1780077600,0,0.0
1020260630121650,ALUMINI 30 Jun 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1782842400,NSE:ALUMINI26JUNFUT,10,20,121650,ALUMINI,21,-1.0,XX,102000000021,1782842400,0,0.0
1020260731121890,ALUMINI 31 Jul 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1785520800,NSE:ALUMINI26JULFUT,10,20,121890,ALUMINI,21,-1.0,XX,102000000021,1785520800,0,0.0
1020260330122469,ALUMINIUM 30 Mar 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774893600,NSE:ALUMINIUM26MARFUT,10,20,122469,ALUMINIUM,19,-1.0,XX,102000000019,1774893600,0,0.0
1020260430121814,ALUMINIUM 30 Apr 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1777572000,NSE:ALUMINIUM26APRFUT,10,20,121814,ALUMINIUM,19,-1.0,XX,102000000019,1777572000,0,0.0
1020260529122636,ALUMINIUM 29 May 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1780077600,NSE:ALUMINIUM26MAYFUT,10,20,122636,ALUMINIUM,19,-1.0,XX,102000000019,1780077600,0,0.0
1020260630121651,ALUMINIUM 30 Jun 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1782842400,NSE:ALUMINIUM26JUNFUT,10,20,121651,ALUMINIUM,19,-1.0,XX,102000000019,1782842400,0,0.0
1020260731121891,ALUMINIUM 31 Jul 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1785520800,NSE:ALUMINIUM26JULFUT,10,20,121891,ALUMINIUM,19,-1.0,XX,102000000019,1785520800,0,0.0
1020260330122473,COPPER 30 Mar 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1774893600,NSE:COPPER26MARFUT,10,20,122473,COPPER,8,-1.0,XX,10200000008,1774893600,0,0.0
1020260430121821,COPPER 30 Apr 26 FUT,33,1,0.05,,0900-2330|1815-1915:,2026-03-21,1777572000,NSE:COPPER26APRFUT,10,20,121821,COPPER,8,-1.0,XX,10200000008,1777572000,0,0.0
