Values,Description,Segment,
0,EQUITY,CM,
1,PREFSHARES,CM,
2,DEBENTURES,CM,
3,WARRANTS,CM,
4,MISC(NSE & BSE),CM,
5,SGB,CM,
6,G-Secs,CM,
7,T-Bills,CM,
8,MF,CM,
9,ETF,CM,
10,INDEX,CM,
50,MISC(BSE),CM,
11,FUTIDX,FO,
12,FUTIVX,FO,
13,FUTSTK,FO,
14,OPTIDX,FO,
15,OPTSTK,FO,
16,FUTCUR,CD,
17,FUTIRT,CD,
18,FUTIRC,CD,
19,OPTCUR,CD,
20,UNDCUR,CD,
21,UNDIRC,CD,
22,UNDIRT,CD,
23,UNDIRD,CD,
24,INDEX_CD,CD,
25,FUTIRD,CD,
11,FUTIDX,COM,
30,FUTCOM,COM,
31,OPTFUT,COM,
32,OPTCOM,COM,
33,FUTBAS,COM,
34,FUTBLN,COM,
35,FUTENR,COM,
36,OPTBLN,COM,
37,OPTFUT(NCOM),COM,
