Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
1210000000542772,360 ONE WAM LIMITED,0,1,0.05,INE466L01038,0915-1530|1815-1915:,2026-03-20,,BSE:360ONE-A,12,10,542772,360ONE,542772,-1.0,XX,1210000000542772,None,0,0.0
1210000000523395,3M INDIA LTD.,0,1,0.05,INE470A01017,0915-1530|1815-1915:,2026-03-20,,BSE:3MINDIA-A,12,10,523395,3MINDIA,523395,-1.0,XX,1210000000523395,None,0,0.0
1210000000526881,63 Moons Technologies Limited,0,1,0.05,INE111B01023,0915-1530|1815-1915:,2026-03-20,,BSE:63MOONS-A,12,10,526881,63MOONS,526881,-1.0,XX,1210000000526881,None,0,0.0
1210000000533292,A2Z INFRA ENGINEERING LIMITED,0,1,0.01,INE619I01012,0915-1530|1815-1915:,2026-03-20,,BSE:A2ZINFRA-T,12,10,533292,A2ZINFRA,533292,-1.0,XX,1210000000533292,None,0,0.0
1210000000544176,Aadhar Housing Finance Limited,0,1,0.05,INE883F01010,0915-1530|1815-1915:,2026-03-20,,BSE:AADHARHFC-A,12,10,544176,AADHARHFC,544176,-1.0,XX,1210000000544176,None,0,0.0
1210000000524208,AARTI INDUSTRIES LTD.,0,1,0.05,INE769A01020,0915-1530|1815-1915:,2026-03-20,,BSE:AARTIIND-A,12,10,524208,AARTIIND,524208,-1.0,XX,1210000000524208,None,0,0.0
1210000000543748,Aarti Pharmalabs Limited,0,1,0.05,INE0LRU01027,0915-1530|1815-1915:,2026-03-20,,BSE:AARTIPHARM-A,12,10,543748,AARTIPHARM,543748,-1.0,XX,1210000000543748,None,0,0.0
1210000000541988,AAVAS Financiers Limited,0,1,0.05,INE216P01012,0915-1530|1815-1915:,2026-03-20,,BSE:AAVAS-A,12,10,541988,AAVAS,541988,-1.0,XX,1210000000541988,None,0,0.0
1210000000523204,ABAN OFFSHORE LTD.,0,1,0.01,INE421A01028,0915-1530|1815-1915:,2026-03-20,,BSE:ABAN-T,12,10,523204,ABAN,523204,-1.0,XX,1210000000523204,None,0,0.0
1210000000500002,ABB INDIA LIMITED,0,1,0.05,INE117A01022,0915-1530|1815-1915:,2026-03-20,,BSE:ABB-A,12,10,500002,ABB,500002,-1.0,XX,1210000000500002,None,0,0.0
