Fytoken, Symbol Details, Exchange Instrument type, Minimum lot size, Tick size, ISIN, Trading Session, Last update date, Expiry date, Symbol ticker, Exchange, Segment, Scrip code, Underlying symbol, Underlying scrip code, Strike price, Option type, Underlying FyToken, Reserved column, Reserved column, Reserved column
10122603252195,EURINR 25 Mar 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1774422000,NSE:EURINR26MARFUT,10,12,2195,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122603273965,EURINR 27 Mar 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1774594800,NSE:EURINR26327FUT,10,12,3965,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604023305,EURINR 02 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1775113200,NSE:EURINR26402FUT,10,12,3305,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604107468,EURINR 10 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1775804400,NSE:EURINR26410FUT,10,12,7468,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604171093,EURINR 17 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1776409200,NSE:EURINR26417FUT,10,12,1093,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604248209,EURINR 24 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1777014000,NSE:EURINR26424FUT,10,12,8209,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604281147,EURINR 28 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1777359600,NSE:EURINR26APRFUT,10,12,1147,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122604301747,EURINR 30 Apr 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1777532400,NSE:EURINR26430FUT,10,12,1747,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122605081497,EURINR 08 May 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1778223600,NSE:EURINR26508FUT,10,12,1497,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122605151007,EURINR 15 May 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1778828400,NSE:EURINR26515FUT,10,12,1007,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122605226875,EURINR 22 May 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1779433200,NSE:EURINR26522FUT,10,12,6875,EURINR,25,-1.0,XX,101200000025,None,0,0.0
10122605263150,EURINR 26 May 26 FUT,16,1,0.0025,,0900-1700|1815-1915:,2026-03-20,1779778800,NSE:EURINR26MAYFUT,10,12,3150,EURINR,25,-1.0,XX,101200000025,None,0,0.0
